CRIF.S1.Score,Payment.Amount,Interest.Paid,Principal.Advance.Paid,Total.years.of.experience.in.Employment.,Estimated.Interest,Debt.service.ratio,Salary.Income.current.month,Interest.Rate,Total.Amount.Paid,Principal.Advance.Remaining,Delinquent.Amount,Date.of.Birth,Gender,Education.Level,No.of.dependents,Loan.Amount,Contract.Date,Marital.status,Term,Residential.status,pymt_standing,Maturity.Date,Fee.Set
0.7112593894965962,0.0,1.7298643892191339,1.364153947434439,1.0168779955379765,1.1040525064433084,0.6411802402960594,0.16188566709286992,-1.3524752039504024,1.4808205195278175,0.7728932677837456,-0.4253655671981105,1.27067986058414,1,1,2,1.403862687510787,1.742272716182508,1,0.7977522892166398,0,1,-0.020491582356379646,3
1.0087907506338145e-15,0.0,0.9198268647732013,1.2564758144160886,0.08193702990724797,-0.394243843080249,0.5809812298693029,0.16188566709286992,-0.23524752499271723,1.194443318785561,-1.1226366128093148,-0.4253655671981105,0.7540659428718466,1,3,2,-0.3620290200785102,2.464853387302852,1,-0.5176961755322457,0,1,-2.4192121052502418,5
1.0087907506338145e-15,0.0,0.39225697240075447,0.24758351842035362,-0.8008052453923118,-1.2604070005550494,0.8111979961494764,0.16188566709286992,-1.491054796535991,0.2829101680059888,-0.725191388099219,2.356105207729325,-1.1401850887398963,1,5,0,-0.8994743223882963,2.464853387302852,0,-0.5176961755322457,1,0,-2.4192121052502418,3
1.0087907506338145e-15,0.0,1.8874564447107987,1.9290144720431608,0.08193702990724797,1.0521573194055254,-0.4281021669174067,0.16188566709286992,1.1081934032301386,1.9887643728909952,-2.381738598950814,-0.4253655671981105,1.0984752213467088,1,3,2,0.3289720828912148,2.284208219522766,1,0.7977522892166398,1,2,-1.2198518438033106,7
1.0087907506338145e-15,0.0,1.2569996096490925,0.7371450899011358,1.1633041993394588,0.1419750126855643,0.8469521005405947,0.16188566709286992,-0.21899722404929522,0.8781891463590322,-0.3552258723017012,-0.4253655671981105,1.7872937782964335,1,2,3,-0.3620290200785102,2.464853387302852,1,0.7977522892166398,0,1,-1.2198518438033106,5
1.0087907506338145e-15,0.0,0.7048728499935529,1.5869324329435521,-0.8008052453923118,0.2762099104954415,-1.7984167251339866,0.16188566709286992,-0.21899722404929522,1.4363592595664973,-2.381738598950814,-0.4253655671981105,-1.3123897279773276,1,3,0,-0.20847321941857128,2.284208219522766,0,0.7977522892166398,0,2,-1.2198518438033106,5
0.6285438308553281,0.0,0.17601086656592943,-0.13394218218551107,-0.8008052453923118,1.576976819645622,0.8828342405080384,0.16188566709286992,-0.6519809162088538,-0.09344073572801516,1.8933708532045184,-0.4253655671981105,-1.3123897279773276,1,3,0,2.1869972708764753,-0.9674048005187822,0,0.7977522892166398,0,1,1.1788686790905514,0
1.0087907506338145e-15,0.0,1.2042188296447531,0.9010300974235791,-0.1698091984249669,0.2617099873156879,0.8608910768587418,0.16188566709286992,-0.30736485887830234,0.9732935337414996,-0.3203368711295373,-0.4253655671981105,-0.6235711710276028,1,3,0,-0.20847321941857128,2.284208219522766,1,0.7977522892166398,1,1,-1.2198518438033106,5
1.0087907506338145e-15,0.0,2.346705966390145,1.4528811116374365,0.3055019870057329,1.5886975486814119,0.6178312579674623,0.16188566709286992,1.303103400652283,1.7493693108694146,0.4349903024041572,-0.4253655671981105,0.23745202515955302,1,3,2,1.0967510861909093,2.284208219522766,1,0.7977522892166398,0,1,-1.2198518438033106,7
1.0087907506338145e-15,0.0,1.925841531326657,1.4707781053067575,0.08193702990724797,1.1188690996749868,0.7696473045803123,0.16188566709286992,-0.30736485887830234,1.6207906584477645,0.3466461060370502,-0.4253655671981105,0.06524738592212186,1,2,0,1.0199731858609398,2.284208219522766,0,0.7977522892166398,0,1,-1.2198518438033106,5
